state_name,votes,year,party
North Dakota,187586.0,2012,gop
Ohio,2593779.0,2012,gop
Oklahoma,889372.0,2012,gop
Oregon,732288.0,2012,gop
Pennsylvania,2619583.0,2012,gop
Rhode Island,155355.0,2012,gop
South Carolina,1049507.0,2012,gop
South Dakota,210353.0,2012,gop
Tennessee,1453097.0,2012,gop
Texas,4555799.0,2012,gop
Utah,671747.0,2012,gop
Vermont,92700.0,2012,gop
Virginia,1788091.0,2012,gop
Washington,1183614.0,2012,gop
West Virginia,412406.0,2012,gop
Wisconsin,1408746.0,2012,gop
Wyoming,170265.0,2012,gop
Alabama,18626.0,2012,oth
Alaska,0.0,2012,oth
Arizona,34308.0,2012,oth
Arkansas,27161.0,2012,oth
California,250484.0,2012,oth
Colorado,55817.0,2012,oth
Connecticut,18224.0,2012,oth
Delaware,5821.0,2012,oth
District of Columbia,3679.0,2012,oth
Florida,72854.0,2012,oth
Georgia,45056.0,2012,oth
Hawaii,6910.0,2012,oth
Idaho,18561.0,2012,oth
Illinois,84374.0,2012,oth
Indiana,49838.0,2012,oth
Iowa,21611.0,2012,oth
Kansas,24607.0,2012,oth
Kentucky,30269.0,2012,oth
Louisiana,32599.0,2012,oth
Maine,22547.0,2012,oth
Maryland,43300.0,2012,oth
Massachusetts,50210.0,2012,oth
Michigan,43144.0,2012,oth
Minnesota,59699.0,2012,oth
Mississippi,11442.0,2012,oth
Missouri,50943.0,2012,oth
Montana,13923.0,2012,oth
Nebraska,12957.0,2012,oth
Nevada,19882.0,2012,oth
New Hampshire,9475.0,2012,oth
New Jersey,34849.0,2012,oth
New Mexico,32102.0,2012,oth
New York,86519.0,2012,oth
North Carolina,44798.0,2012,oth
North Dakota,7749.0,2012,oth
Ohio,88051.0,2012,oth
Oklahoma,0.0,2012,oth
Oregon,48950.0,2012,oth
Pennsylvania,69468.0,2012,oth
Rhode Island,7683.0,2012,oth
South Carolina,26100.0,2012,oth
South Dakota,8146.0,2012,oth
Tennessee,36664.0,2012,oth
Texas,112560.0,2012,oth
Utah,22091.0,2012,oth
Vermont,5315.0,2012,oth
Virginia,52666.0,2012,oth
Washington,68383.0,2012,oth
West Virginia,14312.0,2012,oth
Wisconsin,33917.0,2012,oth
Wyoming,6740.0,2012,oth
Alabama,718084.0,2016,dem
Alaska,0.0,2016,dem
Arizona,936250.0,2016,dem
Arkansas,378729.0,2016,dem
California,5931283.0,2016,dem
Colorado,1212209.0,2016,dem
Connecticut,884432.0,2016,dem
Delaware,235581.0,2016,dem
District of Columbia,260223.0,2016,dem
Florida,4485745.0,2016,dem
Georgia,1837300.0,2016,dem
Hawaii,266827.0,2016,dem
Idaho,189677.0,2016,dem
Illinois,2977498.0,2016,dem
Indiana,1031953.0,2016,dem
Iowa,650790.0,2016,dem
Kansas,414788.0,2016,dem
Kentucky,628834.0,2016,dem
Louisiana,779535.0,2016,dem
Maine,354873.0,2016,dem
Maryland,1497951.0,2016,dem
Massachusetts,1964768.0,2016,dem
Michigan,2267373.0,2016,dem
Minnesota,1366676.0,2016,dem
Mississippi,462001.0,2016,dem
Missouri,1054889.0,2016,dem
Montana,174521.0,2016,dem
Nebraska,273858.0,2016,dem
Nevada,537753.0,2016,dem
New Hampshire,348126.0,2016,dem
New Jersey,2021756.0,2016,dem
New Mexico,380724.0,2016,dem
New York,4143874.0,2016,dem
North Carolina,2162074.0,2016,dem
North Dakota,93526.0,2016,dem
Ohio,2317001.0,2016,dem
Oklahoma,419788.0,2016,dem
